,data,valor_combustiveis
36,2019-10-21,3.701323
37,2019-07-22,3.699
38,2019-10-22,3.7537594
39,2019-07-23,3.6723692
40,2019-09-25,3.714146
41,2019-11-25,3.7996094
42,2019-09-26,3.6802762
43,2019-11-26,3.8136666
44,2019-12-26,3.9191608
45,2019-08-28,3.642702
46,2019-10-28,3.7461343
47,2019-11-28,3.7106667
48,2019-08-29,3.6181343
49,2019-10-29,3.7912855
50,2019-07-30,3.653836
51,2019-12-30,4.046154
0,2020-06-01,3.1601636
1,2020-01-02,3.8817446
2,2020-04-02,3.706826
3,2020-02-03,4.080843
4,2020-06-03,3.189625
5,2020-03-04,3.8589232
6,2020-02-05,3.8858113
7,2020-03-05,3.8703456
8,2020-05-05,3.1989646
9,2020-01-06,3.9468665
10,2020-05-06,3.2318
11,2020-01-07,3.8853946
12,2020-04-07,3.5843332
13,2020-06-08,3.2019103
14,2020-04-09,3.5191247
15,2020-06-09,3.269
16,2020-03-10,3.8307333
17,2020-02-11,3.877207
18,2020-05-12,3.2047715
19,2020-05-13,3.1978946
20,2020-01-14,3.9221666
21,2020-04-14,3.4659412
22,2020-01-15,3.919358
23,2020-04-15,3.507073
24,2020-06-16,3.4287808
25,2020-03-18,3.7992837
26,2020-06-18,3.2727141
27,2020-02-19,3.8845794
28,2020-03-19,3.8743057
29,2020-01-20,3.941154
30,2020-02-20,3.936095
31,2020-05-20,3.3054583
32,2020-05-21,3.1707392
33,2020-01-22,4.0065937
34,2020-04-22,3.5321
35,2020-03-24,3.8973436
36,2020-06-24,3.3251855
37,2020-03-26,3.6626365
38,2020-05-26,3.198271
39,2020-02-27,3.9960542
40,2020-02-28,3.8403332
41,2020-04-28,3.335365
42,2020-01-30,3.9516668
43,2020-03-31,3.6382637
0,2014-07-01,2.4868267
1,2014-10-01,2.458506
2,2014-07-02,2.4956
3,2014-09-02,2.5298
4,2014-10-02,2.4658642
5,2014-12-02,2.5416086
6,2014-09-03,2.479419
7,2014-12-03,2.503841
8,2014-08-04,2.5054183
9,2014-11-04,2.487
10,2014-08-05,2.4707348
11,2014-11-05,2.456864
12,2014-08-06,2.5005805
13,2014-10-07,2.4380987
14,2014-10-08,2.492595
15,2014-07-09,2.4906118
16,2014-09-09,2.487992
17,2014-09-10,2.480033
18,2014-12-10,2.5241382
19,2014-08-11,2.4833562
20,2014-11-11,2.496963
21,2014-08-12,2.4895
22,2014-11-12,2.5090575
23,2014-08-13,2.6903334
24,2014-10-14,2.4512327
25,2014-10-15,2.4768534
26,2014-07-16,2.4906278
27,2014-09-16,2.493
28,2014-09-17,2.4775019
29,2014-12-17,2.534692
30,2014-11-18,2.5236363
31,2014-08-19,2.433
32,2014-11-19,2.5043783
33,2014-08-20,2.4869454
34,2014-10-21,2.599
35,2014-07-22,2.419
36,2014-10-22,2.4539816
37,2014-12-22,2.6226
38,2014-07-23,2.4925637
39,2014-09-23,2.5301774
40,2014-12-23,2.5383627
41,2014-09-24,2.457872
42,2014-12-24,2.582
43,2014-11-25,2.4785385
44,2014-11-26,2.551375
45,2014-08-27,2.480349
46,2014-11-27,2.5032973
47,2014-10-28,2.4751298
48,2014-07-29,2.5184
49,2014-10-29,2.4362676
50,2014-12-29,2.5479524
51,2014-07-30,2.4909773
52,2014-09-30,2.447
0,2015-07-01,2.7439375
1,2015-09-01,2.6471052
